timestamp,svg
2019-04-20T15:44:08.000Z,125
2019-04-20T15:39:09.000Z,122
2019-04-20T15:34:09.000Z,122
2019-04-20T15:29:08.000Z,122
2019-04-20T15:24:09.000Z,119
2019-04-20T15:19:09.000Z,109
2019-04-20T15:14:08.000Z,103
2019-04-20T15:09:09.000Z,103
2019-04-20T15:04:09.000Z,106
2019-04-20T14:59:08.000Z,109
2019-04-20T14:54:09.000Z,112
2019-04-20T14:49:09.000Z,115
2019-04-20T14:44:09.000Z,118
2019-04-20T14:39:09.000Z,121
2019-04-20T14:34:09.000Z,123
2019-04-20T14:29:09.000Z,122
2019-04-20T14:24:09.000Z,121
2019-04-20T14:19:08.000Z,124
2019-04-20T14:14:09.000Z,129
2019-04-20T14:09:09.000Z,130
2019-04-20T14:04:08.000Z,129
2019-04-20T13:59:09.000Z,128
2019-04-20T13:54:09.000Z,127
2019-04-20T13:49:09.000Z,127
2019-04-20T13:44:09.000Z,128
2019-04-20T13:39:09.000Z,119
2019-04-20T13:34:09.000Z,113
2019-04-20T13:29:08.000Z,108
2019-04-20T13:24:08.000Z,101
2019-04-20T13:19:08.000Z,99	
2019-04-20T13:14:08.000Z,95	
2019-04-20T13:09:08.000Z,92	
2019-04-20T13:04:09.000Z,88	
2019-04-20T12:59:09.000Z,83	
2019-04-20T12:54:09.000Z,89	
2019-04-20T12:49:09.000Z,101
2019-04-20T12:44:09.000Z,121
2019-04-20T12:39:09.000Z,135
2019-04-20T12:34:09.000Z,143
2019-04-20T12:29:08.000Z,155
2019-04-20T12:24:09.000Z,161
2019-04-20T12:19:09.000Z,161
2019-04-20T12:14:09.000Z,163
2019-04-20T12:09:09.000Z,165
2019-04-20T12:04:09.000Z,162
2019-04-20T11:59:09.000Z,151
2019-04-20T11:54:09.000Z,146
2019-04-20T11:49:09.000Z,144
2019-04-20T11:44:08.000Z,143
2019-04-20T11:39:09.000Z,141
2019-04-20T11:34:09.000Z,146
2019-04-20T11:29:09.000Z,154
2019-04-20T11:24:09.000Z,163
2019-04-20T11:19:09.000Z,173
2019-04-20T11:14:09.000Z,177
2019-04-20T11:09:08.000Z,179
2019-04-20T11:04:09.000Z,178
2019-04-20T10:59:09.000Z,172
2019-04-20T10:54:09.000Z,162
2019-04-20T10:49:09.000Z,148
2019-04-20T10:44:09.000Z,139
2019-04-20T10:39:09.000Z,136
2019-04-20T10:34:09.000Z,128
2019-04-20T10:29:08.000Z,122
2019-04-20T10:24:09.000Z,116
2019-04-20T10:19:09.000Z,107
2019-04-20T10:14:08.000Z,102
2019-04-20T10:09:08.000Z,102
2019-04-20T10:04:08.000Z,102
2019-04-20T09:59:08.000Z,100
2019-04-20T09:54:09.000Z,101
2019-04-20T09:49:09.000Z,103
2019-04-20T09:44:09.000Z,103
2019-04-20T09:39:09.000Z,102
2019-04-20T09:34:08.000Z,97	
2019-04-20T09:29:09.000Z,94	
2019-04-20T09:24:09.000Z,94	
2019-04-20T09:19:09.000Z,84	
2019-04-20T09:14:08.000Z,77	
2019-04-20T09:09:09.000Z,69	
2019-04-20T09:04:08.000Z,63	
2019-04-20T08:59:09.000Z,62	
2019-04-20T08:54:08.000Z,62	
2019-04-20T08:49:09.000Z,62	
2019-04-20T08:44:09.000Z,63	
2019-04-20T08:39:09.000Z,66	
2019-04-20T08:34:09.000Z,68	
2019-04-20T08:29:08.000Z,70	
2019-04-20T08:24:09.000Z,74	
2019-04-20T08:19:09.000Z,79	
2019-04-20T08:14:09.000Z,84	
2019-04-20T08:09:08.000Z,89	
2019-04-20T08:04:08.000Z,90	
2019-04-20T07:59:09.000Z,88	
2019-04-20T07:54:09.000Z,85	
2019-04-20T07:49:08.000Z,83	
2019-04-20T07:44:09.000Z,83	
2019-04-20T07:39:09.000Z,84	
2019-04-20T07:34:09.000Z,86	
2019-04-20T07:29:08.000Z,89	
2019-04-20T07:24:09.000Z,92	
2019-04-20T07:19:08.000Z,99	
2019-04-20T07:14:09.000Z,101
2019-04-20T07:09:08.000Z,105
2019-04-20T07:04:08.000Z,106
2019-04-20T06:59:09.000Z,109
2019-04-20T06:54:09.000Z,116
2019-04-20T06:49:09.000Z,124
2019-04-20T06:44:08.000Z,131
2019-04-20T06:39:08.000Z,137
2019-04-20T06:34:08.000Z,142
2019-04-20T06:29:08.000Z,153
2019-04-20T06:24:09.000Z,160
2019-04-20T06:19:08.000Z,167
2019-04-20T06:14:09.000Z,174
2019-04-20T06:09:08.000Z,180
2019-04-20T06:04:09.000Z,184
2019-04-20T05:59:09.000Z,186
2019-04-20T05:54:09.000Z,188
2019-04-20T05:49:08.000Z,188
2019-04-20T05:44:08.000Z,191
2019-04-20T05:39:09.000Z,199
2019-04-20T05:34:09.000Z,208
2019-04-20T05:29:08.000Z,213
2019-04-20T05:24:09.000Z,218
2019-04-20T05:19:09.000Z,221
2019-04-20T05:14:09.000Z,221
2019-04-20T05:09:08.000Z,221
2019-04-20T05:04:09.000Z,223
2019-04-20T04:59:09.000Z,227
2019-04-20T04:54:08.000Z,230
2019-04-20T04:49:08.000Z,234
2019-04-20T04:44:08.000Z,238
2019-04-20T04:39:09.000Z,240
2019-04-20T04:34:09.000Z,242
2019-04-20T04:29:10.000Z,244
2019-04-20T04:24:10.000Z,245
2019-04-20T04:19:10.000Z,246
2019-04-20T04:14:09.000Z,248
2019-04-20T04:09:09.000Z,249
2019-04-20T04:04:09.000Z,251
2019-04-20T03:59:09.000Z,256
2019-04-20T03:54:09.000Z,261
2019-04-20T03:49:09.000Z,261
2019-04-20T03:44:09.000Z,261
2019-04-20T03:39:09.000Z,265
2019-04-20T03:34:10.000Z,266
2019-04-20T03:29:10.000Z,267
2019-04-20T03:24:10.000Z,268
2019-04-20T03:19:10.000Z,269
2019-04-20T03:14:10.000Z,269
2019-04-20T03:09:10.000Z,269
2019-04-20T03:04:10.000Z,269
2019-04-20T02:59:09.000Z,270
2019-04-20T02:54:10.000Z,269
2019-04-20T02:49:10.000Z,265
2019-04-20T02:44:09.000Z,263
2019-04-20T02:39:10.000Z,262
2019-04-20T02:34:09.000Z,262
2019-04-20T02:29:09.000Z,263
2019-04-20T02:24:10.000Z,261
2019-04-20T02:19:09.000Z,261
2019-04-20T02:14:10.000Z,260
2019-04-20T02:09:09.000Z,261
2019-04-20T02:04:09.000Z,263
2019-04-20T01:59:09.000Z,263
2019-04-20T01:54:10.000Z,267
2019-04-20T01:49:09.000Z,267
2019-04-20T01:44:10.000Z,263
2019-04-20T01:39:10.000Z,257
2019-04-20T01:34:10.000Z,245
2019-04-20T01:29:09.000Z,228
2019-04-20T01:24:10.000Z,217
2019-04-20T01:19:09.000Z,210
2019-04-20T01:14:09.000Z,209
2019-04-20T01:09:09.000Z,209
2019-04-20T01:04:10.000Z,206
2019-04-20T00:59:09.000Z,207
2019-04-20T00:54:10.000Z,205
2019-04-20T00:49:09.000Z,204
2019-04-20T00:44:10.000Z,202
2019-04-20T00:39:10.000Z,198
2019-04-20T00:34:10.000Z,189
2019-04-20T00:29:09.000Z,182
2019-04-20T00:24:10.000Z,176
2019-04-20T00:19:10.000Z,167
2019-04-20T00:14:10.000Z,153
2019-04-20T00:09:10.000Z,142
2019-04-20T00:04:10.000Z,137
2019-04-19T23:59:10.000Z,139
2019-04-19T23:54:10.000Z,139
2019-04-19T23:49:09.000Z,131
2019-04-19T23:44:10.000Z,117
2019-04-19T23:39:09.000Z,106
2019-04-19T23:34:09.000Z,89	
2019-04-19T23:29:09.000Z,66	
2019-04-19T23:24:09.000Z,59	
2019-04-19T23:19:10.000Z,59	
2019-04-19T23:14:10.000Z,60	
2019-04-19T23:09:10.000Z,60	
2019-04-19T23:04:10.000Z,60	
2019-04-19T22:59:09.000Z,57	
2019-04-19T22:54:09.000Z,51	
2019-04-19T22:49:09.000Z,44	
2019-04-19T22:44:10.000Z,39	
2019-04-19T22:39:09.000Z,39	
2019-04-19T22:34:09.000Z,39	
2019-04-19T22:29:09.000Z,39	
2019-04-19T22:24:10.000Z,45	
2019-04-19T22:19:09.000Z,68	
2019-04-19T22:14:10.000Z,96	
2019-04-19T22:09:10.000Z,117
2019-04-19T22:04:10.000Z,123
2019-04-19T21:59:09.000Z,123
2019-04-19T21:54:09.000Z,123
2019-04-19T21:49:09.000Z,121
2019-04-19T21:44:10.000Z,118
2019-04-19T21:39:09.000Z,115
2019-04-19T21:34:09.000Z,115
2019-04-19T21:29:09.000Z,116
2019-04-19T21:24:10.000Z,117
2019-04-19T21:19:09.000Z,117
2019-04-19T21:14:10.000Z,117
2019-04-19T21:09:10.000Z,117
2019-04-19T21:04:09.000Z,118
2019-04-19T20:59:09.000Z,119
2019-04-19T20:54:10.000Z,120
2019-04-19T20:49:09.000Z,122
2019-04-19T20:44:09.000Z,123
2019-04-19T20:39:09.000Z,124
2019-04-19T20:34:10.000Z,124
2019-04-19T20:29:09.000Z,122
2019-04-19T20:24:09.000Z,122
2019-04-19T20:19:09.000Z,125
2019-04-19T20:04:10.000Z,123
2019-04-19T19:59:10.000Z,121
2019-04-19T19:49:09.000Z,117
2019-04-19T19:44:10.000Z,115
2019-04-19T19:39:10.000Z,113
2019-04-19T19:34:10.000Z,114
2019-04-19T19:29:10.000Z,116
2019-04-19T19:24:10.000Z,119
2019-04-19T19:19:09.000Z,119
2019-04-19T19:14:10.000Z,115
2019-04-19T19:09:09.000Z,109
2019-04-19T19:04:09.000Z,103
2019-04-19T18:59:10.000Z,96	
2019-04-19T18:54:10.000Z,90	
2019-04-19T18:49:09.000Z,88	
2019-04-19T18:44:09.000Z,86	
2019-04-19T18:39:10.000Z,86	
2019-04-19T18:34:09.000Z,89	
2019-04-19T18:29:09.000Z,92	
2019-04-19T18:24:08.000Z,93	
2019-04-19T18:19:09.000Z,90	
2019-04-19T18:14:08.000Z,87	
2019-04-19T18:09:08.000Z,87	
2019-04-19T18:04:08.000Z,89	
2019-04-19T17:59:09.000Z,92	
2019-04-19T17:54:09.000Z,95	
2019-04-19T17:49:09.000Z,97	
2019-04-19T17:44:09.000Z,99	
2019-04-19T17:39:10.000Z,100
2019-04-19T17:34:10.000Z,103
2019-04-19T17:29:09.000Z,99	
2019-04-19T17:24:10.000Z,90	
2019-04-19T17:19:09.000Z,83	
2019-04-19T17:14:09.000Z,72	
2019-04-19T17:09:10.000Z,63	
2019-04-19T17:04:09.000Z,63	
2019-04-19T16:59:09.000Z,63	
2019-04-19T16:54:10.000Z,65	
2019-04-19T16:49:09.000Z,68	
2019-04-19T16:44:09.000Z,73	
2019-04-19T16:39:09.000Z,77	
2019-04-19T16:34:10.000Z,81	
2019-04-19T16:29:10.000Z,90	
2019-04-19T16:24:09.000Z,100
2019-04-19T16:19:09.000Z,121
2019-04-19T16:14:09.000Z,134
2019-04-19T16:09:09.000Z,152
2019-04-19T16:04:09.000Z,166
2019-04-19T15:59:09.000Z,181
2019-04-19T15:54:09.000Z,177
2019-04-19T15:49:09.000Z,171
2019-04-19T15:44:10.000Z,177
2019-04-19T15:39:10.000Z,182
2019-04-19T15:34:09.000Z,184
2019-04-19T15:29:09.000Z,185
2019-04-19T15:24:09.000Z,187
2019-04-19T15:19:09.000Z,191
2019-04-19T15:14:10.000Z,196
2019-04-19T15:09:09.000Z,199
2019-04-19T15:04:10.000Z,201
2019-04-19T14:59:09.000Z,199
2019-04-19T14:54:09.000Z,197
2019-04-19T14:49:09.000Z,197
2019-04-19T14:44:09.000Z,196
2019-04-19T14:39:09.000Z,193
2019-04-19T14:34:09.000Z,188
2019-04-19T14:29:10.000Z,184
2019-04-19T14:24:09.000Z,177
2019-04-19T14:19:10.000Z,174
2019-04-19T14:14:09.000Z,173
2019-04-19T14:09:09.000Z,173
2019-04-19T14:04:09.000Z,173
2019-04-19T13:59:09.000Z,179
2019-04-19T13:54:09.000Z,180
2019-04-19T13:49:09.000Z,181
2019-04-19T13:44:09.000Z,175
2019-04-19T13:39:10.000Z,169
2019-04-19T13:34:09.000Z,171
2019-04-19T13:29:09.000Z,173
2019-04-19T13:24:10.000Z,176
2019-04-19T12:49:09.000Z,171
2019-04-19T12:34:09.000Z,172
2019-04-19T12:29:09.000Z,173
2019-04-19T12:24:10.000Z,173
2019-04-19T12:19:09.000Z,173
2019-04-19T12:14:09.000Z,172
2019-04-19T12:09:10.000Z,172
2019-04-19T12:04:10.000Z,173
2019-04-19T11:59:09.000Z,169
2019-04-19T11:54:09.000Z,162
2019-04-19T11:49:09.000Z,154
2019-04-19T11:44:09.000Z,147
2019-04-19T11:39:09.000Z,146
2019-04-19T11:34:09.000Z,142
2019-04-19T11:29:09.000Z,138
2019-04-19T11:24:09.000Z,130
2019-04-19T11:19:10.000Z,122
2019-04-19T11:14:09.000Z,114
2019-04-19T11:09:10.000Z,109
2019-04-19T11:04:09.000Z,101
2019-04-19T10:59:09.000Z,92	
2019-04-19T10:54:10.000Z,88	
2019-04-19T10:49:10.000Z,85	
2019-04-19T10:44:09.000Z,83	
2019-04-19T10:39:10.000Z,83	
2019-04-19T10:34:10.000Z,83	
2019-04-19T10:29:09.000Z,80	
2019-04-19T10:24:09.000Z,77	
2019-04-19T10:19:10.000Z,73	
2019-04-19T10:14:09.000Z,70	
2019-04-19T10:09:09.000Z,67	
2019-04-19T10:04:09.000Z,66	
2019-04-19T09:59:09.000Z,64	
2019-04-19T09:54:10.000Z,65	
2019-04-19T09:49:09.000Z,65	
2019-04-19T09:44:09.000Z,64	
2019-04-19T09:39:09.000Z,68	
2019-04-19T09:34:10.000Z,72	
2019-04-19T09:29:09.000Z,75	
2019-04-19T09:24:09.000Z,78	
2019-04-19T09:19:09.000Z,84	
2019-04-19T09:14:10.000Z,86	
2019-04-19T09:09:09.000Z,87	
2019-04-19T09:04:10.000Z,85	
2019-04-19T08:59:09.000Z,84	
2019-04-19T08:54:10.000Z,84	
2019-04-19T08:49:10.000Z,88	
2019-04-19T08:44:09.000Z,92	
2019-04-19T08:39:10.000Z,95	
2019-04-19T08:34:09.000Z,98	
2019-04-19T08:29:10.000Z,101
2019-04-19T08:24:09.000Z,105
2019-04-19T08:19:09.000Z,111
2019-04-19T08:14:09.000Z,118
2019-04-19T08:09:09.000Z,126
2019-04-19T08:04:09.000Z,135
2019-04-19T07:59:09.000Z,144
2019-04-19T07:54:09.000Z,153
2019-04-19T07:49:10.000Z,157
2019-04-19T07:44:09.000Z,156
2019-04-19T07:39:09.000Z,153
2019-04-19T07:34:09.000Z,150
2019-04-19T07:29:09.000Z,146
2019-04-19T07:24:10.000Z,141
2019-04-19T07:19:09.000Z,131
2019-04-19T07:14:09.000Z,125
2019-04-19T07:09:09.000Z,125
2019-04-19T07:04:09.000Z,127
2019-04-19T06:59:09.000Z,129
2019-04-19T06:54:09.000Z,133
2019-04-19T06:49:09.000Z,128
2019-04-19T06:44:09.000Z,126
2019-04-19T06:39:10.000Z,124
2019-04-19T06:34:09.000Z,118
2019-04-19T06:29:09.000Z,112
2019-04-19T06:24:09.000Z,104
2019-04-19T06:19:09.000Z,102
2019-04-19T06:14:09.000Z,106
2019-04-19T06:09:10.000Z,109
2019-04-19T06:04:09.000Z,111
2019-04-19T05:59:09.000Z,110
2019-04-19T05:54:09.000Z,109
2019-04-19T05:49:09.000Z,108
2019-04-19T05:44:09.000Z,107
2019-04-19T05:39:10.000Z,107
2019-04-19T05:34:10.000Z,109
2019-04-19T05:29:10.000Z,108
2019-04-19T05:24:10.000Z,106
2019-04-19T05:19:10.000Z,107
2019-04-19T05:14:10.000Z,108
2019-04-19T05:09:10.000Z,111
2019-04-19T05:04:10.000Z,114
2019-04-19T04:59:10.000Z,114
2019-04-19T04:54:10.000Z,114
2019-04-19T04:49:10.000Z,117
2019-04-19T04:44:11.000Z,119
2019-04-19T04:39:10.000Z,122
2019-04-19T04:34:10.000Z,121
2019-04-19T04:29:11.000Z,123
2019-04-19T04:24:10.000Z,124
2019-04-19T04:19:11.000Z,125
2019-04-19T04:14:10.000Z,126
2019-04-19T04:09:10.000Z,127
2019-04-19T04:04:11.000Z,126
2019-04-19T03:59:10.000Z,126
2019-04-19T03:54:10.000Z,126
2019-04-19T03:49:10.000Z,127
2019-04-19T03:44:10.000Z,128
2019-04-19T03:39:10.000Z,129
2019-04-19T03:34:10.000Z,127
2019-04-19T03:29:10.000Z,129
2019-04-19T03:24:11.000Z,134
2019-04-19T03:19:10.000Z,138
2019-04-19T03:14:10.000Z,140
2019-04-19T03:09:10.000Z,140
2019-04-19T03:04:10.000Z,142
2019-04-19T02:59:10.000Z,144
2019-04-19T02:54:10.000Z,147
2019-04-19T02:49:10.000Z,150
2019-04-19T02:44:10.000Z,153
2019-04-19T02:39:10.000Z,153
2019-04-19T02:34:10.000Z,154
2019-04-19T02:29:10.000Z,154
2019-04-19T02:24:11.000Z,156
2019-04-19T02:19:10.000Z,157
2019-04-19T02:14:10.000Z,157
2019-04-19T02:09:10.000Z,159
2019-04-19T02:04:10.000Z,160
2019-04-19T01:59:10.000Z,162
2019-04-19T01:54:10.000Z,162
2019-04-19T01:49:10.000Z,162
2019-04-19T01:44:10.000Z,163
2019-04-19T01:39:10.000Z,164
2019-04-19T01:34:10.000Z,165
2019-04-19T01:29:10.000Z,166
2019-04-19T01:24:10.000Z,165
2019-04-19T01:19:10.000Z,164
2019-04-19T01:14:10.000Z,166
2019-04-19T01:09:10.000Z,169
2019-04-19T01:04:10.000Z,168
2019-04-19T00:59:10.000Z,169
2019-04-19T00:54:10.000Z,169
2019-04-19T00:49:11.000Z,167
2019-04-19T00:44:11.000Z,169
2019-04-19T00:39:10.000Z,168
2019-04-19T00:34:10.000Z,168
2019-04-19T00:29:10.000Z,169
2019-04-19T00:24:10.000Z,168
2019-04-19T00:14:10.000Z,166
2019-04-19T00:09:10.000Z,164
2019-04-19T00:04:10.000Z,162
2019-04-18T23:59:10.000Z,159
2019-04-18T23:54:10.000Z,158
2019-04-18T23:49:11.000Z,158
2019-04-18T23:44:10.000Z,158
2019-04-18T23:39:10.000Z,159
2019-04-18T23:34:10.000Z,157
2019-04-18T23:29:10.000Z,156
2019-04-18T23:24:10.000Z,157
2019-04-18T23:19:10.000Z,157
2019-04-18T23:14:10.000Z,155
2019-04-18T23:09:10.000Z,152
2019-04-18T23:04:10.000Z,149
2019-04-18T22:59:10.000Z,145
2019-04-18T22:54:10.000Z,141
2019-04-18T22:49:10.000Z,133
2019-04-18T22:44:10.000Z,123
2019-04-18T22:39:10.000Z,112
2019-04-18T22:34:10.000Z,102
2019-04-18T22:29:10.000Z,96	
2019-04-18T22:24:10.000Z,98	
2019-04-18T22:19:10.000Z,99	
2019-04-18T22:14:10.000Z,99	
2019-04-18T22:09:10.000Z,101
2019-04-18T22:04:10.000Z,102
2019-04-18T21:59:10.000Z,102
2019-04-18T21:54:10.000Z,100
2019-04-18T21:49:10.000Z,95	
2019-04-18T21:44:10.000Z,93	
2019-04-18T21:39:10.000Z,89	
2019-04-18T21:34:10.000Z,90	
2019-04-18T21:29:10.000Z,97	
2019-04-18T21:24:10.000Z,104
2019-04-18T21:19:10.000Z,108
2019-04-18T21:14:10.000Z,107
2019-04-18T21:09:10.000Z,100
